doc,label
1847_Dumas-Alexandre_Les-Quarante-cinq.txt_chunk_198,ADVENTURE
1843_Sue-Eugene_Les-Mysteres-de-Paris_Tome-I.txt_chunk_44,NON_ADVENTURE
1880_Boussenard_Louis_Le-tour-du-monde-dun-gamin-de-Paris.txt_chunk_108,ADVENTURE
1879_Noir_Louis_Lhomme-de-bronze.txt_chunk_125,ADVENTURE
1925_Bazin-Rene_Le-ble-qui-leve.txt_chunk_39,NON_ADVENTURE
1890_Beaujoint_Jules_Les-quatre-sergents-de-La-Roch.txt_chunk_139,ADVENTURE
1879_Noir_Louis_Lhomme-de-bronze.txt_chunk_213,NON_ADVENTURE
1910_Zevaco-Michel_L-Heroine.txt_chunk_70,ADVENTURE
1958_Kessel-Joseph_Le-lion.txt_chunk_37,ADVENTURE
1843_Sue-Eugene_Les-Mysteres-de-Paris_Tome-V.txt_chunk_87,NON_ADVENTURE
1918_France-Anatole_Le-Petit-Pierre.txt_chunk_12,NON_ADVENTURE
1907_Zevaco-Michel_Les-Pardaillan.txt_chunk_179,ADVENTURE
1893_Feval-Paul-fils_les-suites-de-lagardere_2-les-chevauchees-de-lagardere.txt_chunk_38,ADVENTURE
1881_Cherbuliez-Victor_Noirs-et-Rouges.txt_chunk_59,NON_ADVENTURE
1869_Ponson-du-Terrail-Pierre_Le-Forgeron-de-la-Cour-Dieu_Tome-II.txt_chunk_12,NON_ADVENTURE
1874_Feval-Paul_Le-dernier-vivant.txt_chunk_9,NON_ADVENTURE
1879_Noir_Louis_Lhomme-de-bronze.txt_chunk_168,ADVENTURE
1876_Brown_Alphonse_Voyage-à-dos-de-baleine.txt_chunk_38,ADVENTURE
1843_Sue-Eugene_Les-Mysteres-de-Paris_Tome-III.txt_chunk_89,NON_ADVENTURE
1912_Audoux-Marguerite_Valserine.txt_chunk_16,NON_ADVENTURE
1907_Zevaco-Michel_Le-Capitan.txt_chunk_188,ADVENTURE
1883_Grandpré_Jules-de_Cartouche.txt_chunk_266,NON_ADVENTURE
1855_Nerval-Gerard-de_Aurelia.txt_chunk_10,NON_ADVENTURE
1875_Verne-Jules_L-Ile-Mysterieuse.txt_chunk_93,NON_ADVENTURE
1891_Huysmans-Joris-Karl_La-bas.txt_chunk_46,NON_ADVENTURE
1928_Delly_Cœurs-ennemis-Laquelle.txt_chunk_42,NON_ADVENTURE
1907_Zevaco-Michel_Les-Pardaillan.txt_chunk_153,ADVENTURE
1887_Guy-de-Maupassant_Mont-Oriol.txt_chunk_50,NON_ADVENTURE
1846_Sand-George_Lucrezia-Floriani.txt_chunk_54,NON_ADVENTURE
1844_Dumas-Alexandre_Les-Trois-Mousquetaires.txt_chunk_83,ADVENTURE
1881_Sauniere-Paul_La-Succession-Marignan.txt_chunk_41,NON_ADVENTURE
1862_Feval-Paul_Les-habits-noirs_Tome-I.txt_chunk_111,NON_ADVENTURE
1918_Le-Rouge-Gustave_Le-Mysterieux-Docteur-Cornelius.txt_chunk_16,ADVENTURE
1918_Le-Rouge-Gustave_Le-Mysterieux-Docteur-Cornelius.txt_chunk_274,ADVENTURE
1898_Ivoi-Paul-d-_Corsaire-Triplex.txt_chunk_49,ADVENTURE
1858_Pressense-Elise-de_Rosa.txt_chunk_30,NON_ADVENTURE
1859_Ponson-du-Terrail-Pierre_Les-Exploits-de-Rocambole_Tome-I-Une-fille-d-Espagne.txt_chunk_135,NON_ADVENTURE
1879_Noir_Louis_Lhomme-de-bronze.txt_chunk_209,ADVENTURE
1847_Dumas-Alexandre_Les-Quarante-cinq.txt_chunk_234,ADVENTURE
1878_Assollant-Alfred_Le-plus-hardi-des-gueux.txt_chunk_75,NON_ADVENTURE
1918_Le-Rouge-Gustave_Le-Mysterieux-Docteur-Cornelius.txt_chunk_11,ADVENTURE
1904_Lesueur-Daniel_Le-marquis-de-Valcor.txt_chunk_48,NON_ADVENTURE
1844_Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes.txt_chunk_164,NON_ADVENTURE
1893_Boussenard_Louis_Les-Robinsons-de-la-Guyane.txt_chunk_146,ADVENTURE
1862_Noir_Louis_Le-Coupeur-de-têtes.txt_chunk_61,ADVENTURE
1878_Assollant_Alfred_Montluc-le-Rouge.txt_chunk_67,ADVENTURE
1845_Sue-Eugene_Le-juif-errant_tome-I.txt_chunk_212,NON_ADVENTURE
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_34,ADVENTURE
1910_Zevaco-Michel_L-Heroine.txt_chunk_92,ADVENTURE
1862_Noir_Louis_Le-Coupeur-de-têtes.txt_chunk_0,ADVENTURE
1844_Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes.txt_chunk_121,NON_ADVENTURE
1847_Dumas-Alexandre_Les-Quarante-cinq.txt_chunk_82,ADVENTURE
1857_Feval-Paul_Le-Bossu.txt_chunk_27,NON_ADVENTURE
1846_Balzac-Honore-de_L’Envers-de-l-histoire-contemporaine.txt_chunk_26,NON_ADVENTURE
1884_La-Landell_Gabriel-de_Le-dernier-des-flibustiers.txt_chunk_53,ADVENTURE
1867_Aimard_Gustave_Balle-franche.txt_chunk_236,NON_ADVENTURE
1842_Sue-Eugene_Les-Mysteres-de-Paris_Tome-II.txt_chunk_72,NON_ADVENTURE
1909_Feval-Paul-fils_Les-suites-de-lagardere_8-La-reine-cotillon.txt_chunk_81,ADVENTURE
